================================================
INDEX_0 IDEA REPOSITORY
================================================
================================================
IDEA REGISTRY
================================================

IDEA-001  Map System | multi scale simulation mapping | System | All Eras

Military organization follows the Roman legionary model. Citizen legions are raised for campaigns and commanded by magistrates, while auxiliary forces recruited from allied communities provide cavalry and specialized troops. Successful generals gain enormous prestige and political influence, creating structural tensions between republican institutions and ambitious military leaders.

Religion follows the Roman civic religious system including temples, priesthoods, public festivals, and ritual ceremonies reinforcing the authority of the republic.


------------------------------------------------
IDEA-317
------------------------------------------------
Name:
Mark Anthony Seed

Domain:
People

Parent Idea:
Antonia Experiment

Era:
Planetary Period

Tags:
person_seed
roman_republic
general
aristocrat

Description:
The Mark Anthony Seed is a Cultural Seeding Group personality template introduced into the Antonian Republic as part of the Antonia Experiment.

The template is based on the historical Roman figure Marcus Antonius and represents the archetype of a charismatic aristocratic military commander emerging from a declining noble lineage.

Individuals derived from this seed typically originate from established aristocratic families but grow up during periods of intense political rivalry. Their early lives often include excessive spending, political scandal, and debt before entering military service as a path to restore family prestige.

Within the Antonian Republic this personality pattern tends to produce ambitious political figures who gain popularity through military success, personal charisma, and patronage networks. Such individuals frequently become central actors in elite political competition and may accumulate personal loyalty from soldiers and clients.

The template was introduced to observe the emergence of powerful republican generals whose ambitions may challenge the stability of senatorial government.


------------------------------------------------
IDEA-318
------------------------------------------------

id:
tech_cargo_strap_system

name:
Cargo Strap System

type:
Technology

tags:
logistics
cargo
transport
fastening

start_year:
1950

Domain:
Technology

Parent Idea:
Cargo Handling Equipment

Era:
All Eras

Description:
A reusable strap and tensioning mechanism used to secure cargo
during transport.

Cargo strap systems typically consist of high-strength fabric or
composite webbing combined with a mechanical tensioning device
such as a ratchet or cam buckle.

They are widely used to secure containers, crates, machinery,
and loose equipment on trucks, ships, aircraft, and cargo
platforms.



------------------------------------------------
IDEA-319
------------------------------------------------

id:
tech_industrial_work_gloves

name:
Industrial Work Gloves

type:
Technology

tags:
safety
industrial
workwear
tools

start_year:
1900

Domain:
Technology

Parent Idea:
Industrial Safety Equipment

Era:
All Eras

Description:
Protective gloves worn by workers handling tools,
machinery, and raw materials.

Industrial work gloves protect against abrasion, heat,
sharp edges, and mechanical stress depending on their
construction and materials.

They are standard safety equipment in manufacturing,
construction, maintenance, and industrial logistics.



------------------------------------------------
IDEA-320
------------------------------------------------

id:
tech_portable_field_stove

name:
Portable Field Stove

type:
Technology

tags:
expedition
survival
camping
cooking

start_year:
1890

Domain:
Technology

Parent Idea:
Field Equipment

Era:
All Eras

Description:
A compact portable cooking device used by travelers,
expedition teams, and field workers.

Portable field stoves operate with small fuel cartridges
or liquid fuel and provide a controlled heat source for
preparing food or boiling water in remote environments.



------------------------------------------------
IDEA-321
------------------------------------------------

id:
tech_hand_signal_lamp

name:
Hand Signal Lamp

type:
Technology

tags:
communication
navigation
visual-signal
maritime

start_year:
1850

Domain:
Technology

Parent Idea:
Visual Signaling Equipment

Era:
Industrial Period
Early Space Period

Description:
A portable lamp used to transmit coded visual signals
between distant observers.

These devices were historically used in maritime
communication, harbor operations, and military
signaling before the widespread adoption of radio
communication systems.



------------------------------------------------
IDEA-322
------------------------------------------------

id:
tech_utility_knife

name:
Utility Knife

type:
Technology

tags:
tool
cutting
maintenance
workshop

start_year:
1850

Domain:
Technology

Parent Idea:
Hand Tools

Era:
All Eras

Description:
A compact cutting tool with a sharp replaceable blade
used for a wide range of tasks.

Utility knives are commonly used for cutting rope,
opening cargo packaging, trimming materials, and
general maintenance work in workshops, warehouses,
and field environments.



------------------------------------------------
IDEA-323
------------------------------------------------

id:
tech_tool_belt_harness

name:
Tool Belt Harness

type:
Technology

tags:
tools
equipment
workgear

start_year:
1900

Domain:
Technology

Parent Idea:
Industrial Work Equipment

Era:
All Eras

Description:
A wearable belt or harness system designed to carry
tools while allowing workers to keep both hands free.

Tool belt systems typically include multiple pouches,
loops, and attachment points for hand tools and
fasteners and are widely used by construction workers,
mechanics, and maintenance technicians.



------------------------------------------------
IDEA-324
------------------------------------------------

id:
tech_portable_work_light

name:
Portable Work Light

type:
Technology

tags:
lighting
industrial
maintenance
portable

start_year:
1920

Domain:
Technology

Parent Idea:
Field Lighting Equipment

Era:
All Eras

Description:
A portable lighting device used to illuminate work
areas where permanent lighting is unavailable.

Portable work lights are widely used in construction,
repair work, industrial maintenance, and field
operations.



------------------------------------------------
IDEA-325
------------------------------------------------

id:
tech_field_ration_pack

name:
Field Ration Pack

type:
Technology

tags:
food
military
expedition
logistics

start_year:
1930

Domain:
Technology

Parent Idea:
Field Supply Systems

Era:
All Eras

Description:
A pre-packaged meal kit designed for easy storage
and consumption during travel, expeditions, or
military operations.

Ration packs contain preserved foods and
nutrient-dense components that allow meals to be
consumed with minimal preparation equipment.

------------------------------------------------
IDEA-326
------------------------------------------------

id:
item_mooring_line

name:
Mooring Line

type:
Good

item_class:
maritime_equipment

tags:
naval
shipping
rope
mooring

start_year:
1600

Domain:
Items

Parent Idea:
Maritime Dock Equipment

Era:
All Eras

Description:
A heavy rope or cable used to secure a vessel to docks, piers,
or mooring buoys.

Mooring lines must withstand constant tension caused by waves,
wind, and tidal movement. Historically they were made from
natural fibers such as hemp or manila, while modern versions
use synthetic materials like nylon or polypropylene.


------------------------------------------------
IDEA-327
------------------------------------------------

id:
item_signal_flag_set

name:
Signal Flag Set

type:
Good

item_class:
maritime_signaling_equipment

tags:
naval
communication
flags
navigation

start_year:
1800

Domain:
Items

Parent Idea:
Visual Signaling Equipment

Era:
Industrial Period
Early Space Period

Description:
A standardized collection of colored flags used for visual
communication between ships.

Each flag represents letters, numbers, or specific coded
messages defined by maritime signaling systems such as the
International Code of Signals.


------------------------------------------------
IDEA-328
------------------------------------------------

id:
item_oilskin_weather_coat

name:
Oilskin Weather Coat

type:
Good

item_class:
maritime_clothing

tags:
naval
clothing
weather_protection
sailor_equipment

start_year:
1700

Domain:
Items

Parent Idea:
Maritime Work Clothing

Era:
All Eras

Description:
A waterproof protective coat traditionally worn by sailors
working on exposed decks in heavy weather.

Oilskin coats were originally made from tightly woven fabric
treated with oils or waxes to repel water. Modern variants
use synthetic waterproof materials.


------------------------------------------------
IDEA-329
------------------------------------------------

id:
item_galley_mess_tray

name:
Galley Mess Tray

type:
Good

item_class:
shipboard_dining_equipment

tags:
naval
food
shipboard_life
kitchen

start_year:
1800

Domain:
Items

Parent Idea:
Shipboard Galley Equipment

Era:
All Eras

Description:
A durable serving tray used aboard ships for distributing
meals from the galley to crew members.

Mess trays are typically made from metal or durable plastic
and are designed to withstand frequent washing and heavy
use in confined shipboard kitchens.


------------------------------------------------
IDEA-330
------------------------------------------------

id:
item_sounding_line

name:
Sounding Line

type:
Good

item_class:
navigation_instrument

tags:
naval
navigation
depth_measurement

start_year:
1500

Domain:
Items

Parent Idea:
Maritime Navigation Instruments

Era:
All Eras

Description:
A weighted line used to measure the depth of water beneath
a vessel.

The line is lowered until the weight reaches the seabed,
allowing sailors to determine water depth and identify
safe navigation channels.


------------------------------------------------
IDEA-331
------------------------------------------------

id:
item_bosuns_whistle

name:
Bosun's Whistle

type:
Good

item_class:
shipboard_command_tool

tags:
naval
communication
command
shipboard_life

start_year:
1700

Domain:
Items

Parent Idea:
Shipboard Command Instruments

Era:
All Eras

Description:
A small metal whistle used by boatswains to signal commands
to crew members on deck.

Different tones and patterns convey specific orders during
shipboard operations such as raising sails, assembling crew,
or performing maneuvers.


------------------------------------------------
IDEA-332
------------------------------------------------

id:
component_deck_cleat

name:
Deck Cleat

type:
Component

item_class:
maritime_fastening_component

tags:
naval
mooring
hardware
deck_equipment

start_year:
1600

Domain:
Items

Parent Idea:
Maritime Deck Hardware

Era:
All Eras

Description:
A fixed metal fitting mounted on the deck of a ship or dock
used to secure mooring lines.

Mooring ropes are wrapped around the cleat in specific
patterns to hold a vessel in position while allowing the
line to be released quickly when required.


------------------------------------------------
IDEA-333
------------------------------------------------

id:
tech_watermill

name:
Watermill

type:
Technology

tags:
medieval
agriculture
mechanical_power
milling

start_year:
200

Domain:
Technology

Parent Idea:
Hydraulic Power Systems

Era:
Medieval Period

Description:
A mechanical system that converts the kinetic energy of flowing
water into rotational power.

Watermills were widely used in medieval Europe for grinding grain,
sawing timber, forging metal, and powering various industrial
processes. They represent one of the earliest large-scale uses of
renewable mechanical energy in human industry.



------------------------------------------------
IDEA-334
------------------------------------------------

id:
tech_windmill

name:
Windmill

type:
Technology

tags:
medieval
agriculture
mechanical_power
milling

start_year:
900

Domain:
Technology

Parent Idea:
Wind Power Systems

Era:
Medieval Period

Description:
A mechanical structure that uses wind energy to drive rotating
machinery.

Windmills were commonly used to grind grain and pump water in
regions lacking strong river systems. Their rotating sails convert
wind energy into rotational motion transmitted through gears to
millstones or pumps.



------------------------------------------------
IDEA-335
------------------------------------------------

id:
tech_heavy_plow

name:
Heavy Plow

type:
Technology

tags:
medieval
agriculture
farming

start_year:
600

Domain:
Technology

Parent Idea:
Agricultural Implements

Era:
Medieval Period

Description:
A large iron-tipped plow designed to turn heavy clay soils found
in northern Europe.

Unlike earlier scratch plows, the heavy plow included a moldboard
that turned the soil completely, improving aeration and allowing
more productive farming.



------------------------------------------------
IDEA-336
------------------------------------------------

id:
tech_horse_collar

name:
Horse Collar

type:
Technology

tags:
medieval
agriculture
transport
animal_power

start_year:
800

Domain:
Technology

Parent Idea:
Animal Harness Systems

Era:
Medieval Period

Description:
A harness device that allows horses to pull heavy loads efficiently
without restricting breathing.

The horse collar distributes load across the animal's shoulders,
greatly increasing the power horses could exert in agriculture
and transportation.



------------------------------------------------
IDEA-337
------------------------------------------------

id:
tech_stirrup

name:
Stirrup

type:
Technology

tags:
medieval
military
cavalry
equipment

start_year:
500

Domain:
Technology

Parent Idea:
Mounted Combat Equipment

Era:
Medieval Period

Description:
A foot support attached to a saddle that stabilizes a rider while
mounted on a horse.

Stirrups improved balance and control during riding and enabled
the development of heavily armed cavalry by allowing riders to
apply greater force with weapons such as lances.



------------------------------------------------
IDEA-338
------------------------------------------------

id:
tech_chainmail_armor

name:
Chainmail Armor

type:
Technology

tags:
medieval
military
armor
equipment

start_year:
300

Domain:
Technology

Parent Idea:
Personal Armor Systems

Era:
Medieval Period

Description:
A flexible protective armor composed of thousands of interlinked
metal rings forming a protective mesh.

Chainmail armor provided effective protection against cutting
weapons while allowing considerable mobility.



------------------------------------------------
IDEA-339
------------------------------------------------

id:
tech_trebuchet

name:
Trebuchet

type:
Technology

tags:
medieval
military
siege
weapon

start_year:
1100

Domain:
Technology

Parent Idea:
Siege Weapon Systems

Era:
Medieval Period

Description:
A large counterweight-powered siege engine used to launch heavy
projectiles against fortified structures.

Trebuchets could hurl stones, incendiary materials, and other
projectiles over long distances during medieval siege warfare.



------------------------------------------------
IDEA-340
------------------------------------------------

id:
tech_stone_keep_castle_design

name:
Stone Keep Castle Design

type:
Technology

tags:
medieval
military
architecture
fortification

start_year:
1000

Domain:
Technology

Parent Idea:
Fortified Architecture

Era:
Medieval Period

Description:
A fortified castle design centered around a massive stone tower
known as the keep.

Stone keeps served as the final defensive stronghold within a
castle complex and housed garrisons, supplies, and command
structures.



------------------------------------------------
IDEA-341
------------------------------------------------

id:
tech_treadwheel_crane

name:
Treadwheel Crane

type:
Technology

tags:
medieval
construction
engineering

start_year:
1200

Domain:
Technology

Parent Idea:
Mechanical Lifting Systems

Era:
Medieval Period

Description:
A crane powered by human operators walking inside a large wheel
that functions as a treadwheel.

The rotational motion of the wheel winds a rope around a drum,
lifting heavy loads used in medieval construction projects.



------------------------------------------------
IDEA-342
------------------------------------------------

id:
tech_early_blast_furnace

name:
Early Blast Furnace

type:
Technology

tags:
medieval
metallurgy
iron_production

start_year:
1300

Domain:
Technology

Parent Idea:
Metallurgical Furnaces

Era:
Late Medieval Period

Description:
A furnace used to smelt iron ore at high temperatures using a
continuous blast of air.

Early blast furnaces allowed significantly larger production of
iron compared to earlier bloomery furnaces.



------------------------------------------------
IDEA-343
------------------------------------------------

id:
tech_quern_mill

name:
Quern Mill

type:
Technology

tags:
medieval
food_processing
milling

start_year:
-500

Domain:
Technology

Parent Idea:
Grain Processing Tools

Era:
Ancient Period
Medieval Period

Description:
A hand-operated stone mill used to grind grain into flour.

Querns consist of two circular stones, one rotating on top of
the other, allowing grain to be crushed between them.



------------------------------------------------
IDEA-344
------------------------------------------------

id:
tech_longbow

name:
Longbow

type:
Technology

tags:
medieval
military
archery
weapon

start_year:
1200

Domain:
Technology

Parent Idea:
Projectile Weapons

Era:
Medieval Period

Description:
A tall powerful bow capable of launching arrows over long
distances with high penetration power.

The longbow became a defining weapon in medieval warfare,
particularly associated with English armies.



------------------------------------------------
IDEA-345
------------------------------------------------

id:
tech_illuminated_manuscript_production

name:
Illuminated Manuscript Production

type:
Technology

tags:
medieval
writing
art
manuscripts

start_year:
600

Domain:
Technology

Parent Idea:
Medieval Book Production

Era:
Medieval Period

Description:
The process of producing handwritten books decorated with
ornamental lettering, illustrations, and gold leaf.

Illuminated manuscripts were created in monasteries and
scriptoria and served as important cultural and religious
artifacts.



------------------------------------------------
IDEA-346
------------------------------------------------

id:
tech_astrolabe_navigation_instrument

name:
Astrolabe Navigation Instrument

type:
Technology

tags:
medieval
navigation
astronomy
instrument

start_year:
200

Domain:
Technology

Parent Idea:
Astronomical Instruments

Era:
Ancient Period
Medieval Period

Description:
An astronomical instrument used to determine the position of
celestial bodies and estimate geographic latitude.

Astrolabes were widely used by scholars, navigators, and
astronomers during the medieval period.



------------------------------------------------
IDEA-347
------------------------------------------------

id:
tech_mechanical_clock

name:
Mechanical Clock

type:
Technology

tags:
medieval
timekeeping
mechanical

start_year:
1300

Domain:
Technology

Parent Idea:
Timekeeping Instruments

Era:
Late Medieval Period

Description:
A timekeeping device powered by weights or springs that drives
a regulated gear mechanism.

Mechanical clocks first appeared in medieval Europe and were
often installed in towers to regulate daily urban and monastic
life.


------------------------------------------------
IDEA-348
------------------------------------------------

id:
tech_pigeon_photography_camera_harness

name:
Pigeon Photography Camera Harness

type:
Technology

tags:
reconnaissance
photography
early_aerial_imaging
military

start_year:
1907

Domain:
Technology

Parent Idea:
Aerial Reconnaissance Technologies

Era:
Early Aviation Period

Description:
A miniature camera mounted on a harness worn by carrier pigeons.
The device automatically captured photographs during flight using
a timed mechanism.

Developed in the early twentieth century, pigeon photography was
one of the earliest forms of aerial reconnaissance before reliable
aircraft-based photography became widespread.



------------------------------------------------
IDEA-349
------------------------------------------------

id:
tech_dog_powered_turnspit

name:
Dog-Powered Turnspit

type:
Technology

tags:
medieval
kitchen
mechanical_power
food_preparation

start_year:
1500

Domain:
Technology

Parent Idea:
Mechanical Food Preparation Devices

Era:
Early Modern Period

Description:
A roasting mechanism used in large kitchens where a dog ran inside
a wheel connected to a spit, slowly rotating meat over a fire.

The device automated the turning of roasting meat, a laborious task
in large households and inns before the widespread use of mechanical
kitchen equipment.



------------------------------------------------
IDEA-350
------------------------------------------------

id:
tech_explosive_whaling_harpoon

name:
Explosive Whaling Harpoon

type:
Technology

tags:
whaling
maritime
industrial_hunting
weapon

start_year:
1864

Domain:
Technology

Parent Idea:
Industrial Whaling Equipment

Era:
Industrial Period

Description:
A specialized harpoon containing an explosive charge that detonates
after penetrating the body of a whale.

The technology dramatically increased the efficiency of commercial
whaling operations during the nineteenth century.



------------------------------------------------
IDEA-351
------------------------------------------------

id:
tech_soviet_listening_sphere

name:
Soviet Listening Sphere

type:
Technology

tags:
cold_war
acoustic_detection
military
radar_predecessor

start_year:
1930

Domain:
Technology

Parent Idea:
Acoustic Aircraft Detection Systems

Era:
Early Radar Period

Description:
Large spherical acoustic listening devices used to detect aircraft
by amplifying engine noise.

These installations were deployed in several countries before the
development of effective radar systems.



------------------------------------------------
IDEA-352
------------------------------------------------

id:
item_roman_dodecahedron_tool

name:
Roman Dodecahedron Tool

type:
Good

item_class:
mysterious_artifact

tags:
roman
artifact
tool
unknown_function

start_year:
100

Domain:
Items

Parent Idea:
Roman Metal Artifacts

Era:
Ancient Period

Description:
A small hollow bronze object with twelve pentagonal faces,
each containing circular holes of varying diameter.

The exact purpose of Roman dodecahedra remains uncertain,
with theories suggesting uses in measurement, ritual,
or craft production.



------------------------------------------------
IDEA-353
------------------------------------------------

id:
item_pneumatic_mail_capsule

name:
Pneumatic Mail Capsule

type:
Good

item_class:
communication_logistics_container

tags:
postal_system
pneumatic_tube
communication

start_year:
1850

Domain:
Items

Parent Idea:
Pneumatic Tube Communication Systems

Era:
Industrial Period

Description:
A cylindrical container designed to carry letters or small
packages through pneumatic tube networks used in cities,
banks, and government offices.



------------------------------------------------
IDEA-354
------------------------------------------------

id:
tech_folding_kayak

name:
Folding Kayak

type:
Technology

tags:
watercraft
exploration
portable_transport

start_year:
1905

Domain:
Technology

Parent Idea:
Portable Watercraft

Era:
Modern Period

Description:
A collapsible kayak consisting of a lightweight frame covered
by a waterproof skin.

Folding kayaks were widely used by explorers, military units,
and travelers who required portable boats that could be
transported over land.



------------------------------------------------
IDEA-355
------------------------------------------------

id:
tech_fire_arrow_launcher

name:
Fire Arrow Launcher

type:
Technology

tags:
medieval
rocketry
weapon
asia

start_year:
1200

Domain:
Technology

Parent Idea:
Early Rocket Weapons

Era:
Medieval Period

Description:
A weapon used in East Asia that launched rocket-propelled
arrows using early gunpowder propulsion.

These devices represent some of the earliest military uses
of rocket technology.



------------------------------------------------
IDEA-356
------------------------------------------------

id:
tech_clockwork_monk_automaton

name:
Clockwork Monk Automaton

type:
Technology

tags:
automation
mechanical
renaissance

start_year:
1560

Domain:
Technology

Parent Idea:
Mechanical Automata

Era:
Renaissance Period

Description:
A mechanical automaton designed to resemble a walking monk,
capable of performing repetitive gestures such as prayer
movements.

The device demonstrates early experimentation with mechanical
automation and clockwork engineering.



------------------------------------------------
IDEA-357
------------------------------------------------

id:
item_gas_lamp_igniter_pole

name:
Gas Lamp Igniter Pole

type:
Good

item_class:
urban_maintenance_tool

tags:
urban_infrastructure
lighting
maintenance

start_year:
1820

Domain:
Items

Parent Idea:
Gas Street Lighting Systems

Era:
Industrial Period

Description:
A long pole used by lamplighters to ignite gas street lamps
before automated lighting systems were introduced.



------------------------------------------------
IDEA-358
------------------------------------------------

id:
tech_ice_harvesting_saw

name:
Ice Harvesting Saw

type:
Technology

tags:
industrial
ice_harvesting
tool

start_year:
1800

Domain:
Technology

Parent Idea:
Ice Harvesting Technologies

Era:
Industrial Period

Description:
A long saw designed for cutting large blocks of ice from
frozen lakes during winter harvesting operations.



------------------------------------------------
IDEA-359
------------------------------------------------

id:
tech_pocket_sextant

name:
Pocket Sextant

type:
Technology

tags:
navigation
instrument
maritime

start_year:
1750

Domain:
Technology

Parent Idea:
Celestial Navigation Instruments

Era:
Early Modern Period

Description:
A compact version of the sextant used by navigators to measure
the angle between celestial objects and the horizon for
determining geographic position.



------------------------------------------------
IDEA-360
------------------------------------------------

id:
tech_player_piano_roll_system

name:
Player Piano Roll System

type:
Technology

tags:
music
mechanical
automation

start_year:
1880

Domain:
Technology

Parent Idea:
Mechanical Music Instruments

Era:
Industrial Period

Description:
A system using perforated paper rolls to control the automatic
playing of a piano through pneumatic mechanisms.



------------------------------------------------
IDEA-361
------------------------------------------------

id:
tech_steam_fire_engine

name:
Steam Fire Engine

type:
Technology

tags:
steam_power
firefighting
industrial

start_year:
1852

Domain:
Technology

Parent Idea:
Steam-Powered Emergency Equipment

Era:
Industrial Period

Description:
A firefighting pump powered by a steam engine capable of
delivering large volumes of water to extinguish fires.



------------------------------------------------
IDEA-362
------------------------------------------------

id:
tech_submarine_escape_breathing_hood

name:
Submarine Escape Breathing Hood

type:
Technology

tags:
submarine
safety
diving

start_year:
1910

Domain:
Technology

Parent Idea:
Submarine Emergency Equipment

Era:
Early Submarine Period

Description:
A breathing hood designed to allow submariners to escape a
disabled submarine by supplying air while ascending to the
surface.

------------------------------------------------
IDEA-363
------------------------------------------------

Name:
Patina Drifter Population

Domain:
Cultures and Populations

Parent Idea:
Planet Patina

Era:
Planetary Period

Tags:
population
culture
terraforming
frontier
patina

Description:
The population of Patina emerged from centuries of loosely
regulated terraforming activity and speculative industrial
expansion.

Instead of Cultural Seeding Group (CSG) colony plants, Patina
attracted independent settlers, technicians, prospectors,
corporate contractors, and economic drifters from many worlds.

Surface settlements formed gradually around infrastructure nodes,
terraforming stations, and later the massive orbital shipyard
complexes. Over time these settlements grew into irregular cities
sprawling outward from corporate megastructure installations.

The population therefore developed as a heterogeneous frontier
society without a dominant cultural tradition. Patina inhabitants
are widely known for improvisational engineering skills,
opportunistic entrepreneurship, and a strong tolerance for
economic risk and speculative ventures.



------------------------------------------------
IDEA-364
------------------------------------------------

Name:
Patina Surface Taxi Vehicle

Domain:
Vehicles

Parent Idea:
Planet Patina

Era:
Planetary Period

Tags:
vehicle
transport
urban
patina

Description:
A common urban ground vehicle used for passenger transport in the
sprawling cities surrounding Patina's orbital shipyard
megastructures.

Unlike standardized transport fleets on more regulated worlds,
Patina taxis exist in many locally modified variants assembled
from widely available industrial components.

Vehicles must tolerate rough terrain, unfinished infrastructure,
and frequent mechanical improvisation by drivers and local
garages. As a result, Patina taxi culture emphasizes modular
parts, durable chassis construction, and easy field repair.



------------------------------------------------
IDEA-365
------------------------------------------------

Name:
Patina Dock Transfer Tug

Domain:
Vehicles

Parent Idea:
Patina Omni-Production Shipyard

Era:
Planetary Period

Tags:
vehicle
orbital
cargo
shipyard
patina

Description:
A small maneuverable spacecraft used within the Patina orbital
shipyard complex to move cargo containers, ship components, and
unfinished hull sections between construction modules.

Dock transfer tugs operate entirely within orbital construction
zones and are optimized for precise low-velocity maneuvering
rather than long-distance travel.

The craft typically features powerful attitude control thrusters,
reinforced docking clamps, and modular cargo grapples allowing
operators to reposition containers and structural elements during
ship assembly.

Because the Patina shipyard relied on large-scale modular
construction methods, these tugs became one of the most common
working spacecraft in the orbital complex.



------------------------------------------------
IDEA-366
------------------------------------------------

Name:
Patina Tug Pilot

Domain:
People

Parent Idea:
Patina Omni-Production Shipyard

Era:
Planetary Period

Tags:
person
pilot
patina
shipyard
freighter

Description:
A Patina-born pilot descended from the planet's heterogeneous
drifter population. He grew up in one of the sprawling cities
that developed around the massive shipyard megastructure
complexes on the surface.

In early adulthood he worked as a taxi driver before being
noticed by a Capital Pursuits middle manager while transporting
shipyard personnel. The manager recruited him into orbital
operations where he began working as a dock transfer tug pilot
inside the Patina orbital shipyard.

After years of routine tug work he was eventually promoted to
the crew of a container spine freighter and later commanded an
older model vessel during the final period of Capital Pursuits
ownership.

Following the acquisition of the shipyard by Million Labels
Group (MLG), older freighter models were gradually phased out
and he returned to tug duty. Though the change had little
outward impact on his life, he quietly preferred flying
freighters and occasionally missed operating them.


------------------------------------------------
IDEA-367
------------------------------------------------

Name:
Orbital Deployable Habitation Stack

Domain:
Infrastructure

Parent Idea:
Planetary Settlement Infrastructure

Era:
Planetary Period

Tags:
infrastructure
habitation
modular
colonization

Description:
A vertically structured modular habitation complex designed for
rapid deployment on newly settled planetary surfaces.

The structure typically takes the form of a massive rectangular
megablock containing stacked residential, service, and technical
modules capable of housing approximately ten thousand inhabitants.

Deployable habitation stacks were originally intended as temporary
settlement infrastructure during terraforming and early industrial
development phases. In practice they frequently became permanent
urban cores as surrounding settlements grew around them.



------------------------------------------------
IDEA-368
------------------------------------------------

Name:
Deployable Habitation Stack Manufacturer

Domain:
Organizations

Parent Idea:
Planetary Settlement Infrastructure

Era:
Planetary Period

Tags:
corporation
infrastructure
colonization
habitation

Description:
An industrial manufacturer specializing in modular habitation
stacks designed for early planetary settlement and terraforming
operations.

These companies produced large deployable megablock structures
capable of housing thousands of workers and technicians during
the initial phases of planetary development.



------------------------------------------------
IDEA-369
------------------------------------------------

Name:
Transfer Hansa Market

Domain:
Organizations

Parent Idea:
Transfer Hansa

Era:
Planetary Period

Tags:
market
trade
logistics
infrastructure

Description:
A commercial market network operated by the Transfer Hansa,
providing frontier settlements with access to imported goods,
construction materials, industrial components, and surplus
equipment.

On rapidly growing worlds such as Patina, Transfer Hansa markets
served as supply nodes where settlers, contractors, and small
industrial operators could acquire standardized building modules,
tools, and materials not produced locally.



------------------------------------------------
IDEA-370
------------------------------------------------

Name:
Patina Industrial Utility Helicopter

Domain:
Vehicles

Parent Idea:
Planet Patina

Era:
Planetary Period

Tags:
vehicle
transport
industrial
patina
aircraft

Description:
A rugged rotary-wing aircraft used on Patina for short-distance
transport between surface settlements, industrial installations,
and orbital infrastructure zones.

Because Patina's surface settlements developed organically across
partially terraformed terrain, helicopters became an important
means of connecting scattered facilities not yet integrated into
formal transport networks.



------------------------------------------------
IDEA-371
------------------------------------------------

Name:
Stacklinger

Domain:
Locations

Parent Idea:
Planet Patina

Era:
Planetary Period

Tags:
city
settlement
patina
industrial

Description:
Stacklinger is a surface settlement on Patina that developed
around a large deployable habitation megablock originally
designated Habitation Stack 14.

The megablock housed approximately ten thousand inhabitants and
served as a self-contained settlement core during the early
planetary development period.

Over time clusters of independent settlements formed around the
structure, built from local stone, industrial scrap originating
from nearby shipyard activity, and imported construction materials
obtained through Transfer Hansa markets.

These clusters gradually merged into an irregular city connected
by improvised infrastructure networks for power, water, and
transport which were later formalized through asphalt road
construction.

Located roughly fifteen kilometers from the Patina orbital
shipyard complex, Stacklinger developed into a major worker
settlement serving the surrounding industrial economy.

During the lifetime of the Patina tug pilot, the city had grown to
approximately one hundred thousand inhabitants.

The name “Stacklinger” originated as a worker nickname for the
people living around Habitation Stack 14 before eventually
becoming the settlement's common and later official name.

------------------------------------------------
IDEA-372
------------------------------------------------

Name: Superpower Wars

Domain: Conflicts

Parent Idea: None

Era:
Superpower Wars

Tags:
global-war
geopolitics
multipolar
collapse-of-order

Description:
The Superpower Wars were a prolonged period of intermittent global
conflict lasting roughly from the mid-2020s until the end of the 21st
century.

The wars began with a large-scale conflict in Eastern Europe involving
Russia and Belarus against NATO members without direct initial
participation by the United States.

Shortly afterwards China launched an invasion of Taiwan, drawing the
United States into open conflict in the Pacific theater.

Over the following decades numerous additional regional conflicts
erupted around the world as long-suppressed geopolitical disputes
resurfaced.

The weakening of international institutions and the collapse of the
post–Cold War rules-based order allowed many states and regional
powers to pursue territorial ambitions or settle historic rivalries
through military force.

The wars therefore consisted not of a single continuous global
conflict but of overlapping wars, ceasefires, proxy conflicts and
renewed escalations across multiple theaters over nearly a century.

